strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
Bollinger,XRPUSD,D1,8,62.5,1.52,3.06,0.3638,9.4238,-3.69,1.24,6.0245,7.1457,10152.21
Parabolic_SAR,BTCUSD,D1,15,46.67,1.87,3.77,0.3259,0.3001,-6.78,1.15,4.5084,4.8699,10187.25
Parabolic_SAR,XAUUSD,H4,58,43.1,2.13,4.32,0.3008,0.602,-11.41,1.04,1.9928,1.2507,10212.9
Swing_SR,XRPUSD,D1,3,66.67,0.68,1.36,0.2998,0.0,-2.02,1.33,7.978,12.2541,10067.99
Bollinger,NZDUSD,D1,5,60.0,2.35,4.76,0.2991,64.2425,-4.02,1.56,1.4823,1.6063,10234.58
MACD,AUDUSD,D1,8,37.5,1.02,2.06,0.2918,0.2,-3.09,1.16,1.7206,0.806,10101.97
MACD,LTCUSD,D1,9,44.44,1.19,2.39,0.2879,0.1592,-2.89,1.18,4.7501,4.0338,10119.17
Stochastic,NZDUSD,H4,62,50.0,1.84,3.72,0.2727,1.1991,-20.42,1.03,0.5977,0.5694,10183.88
RSI,EURJPY,H4,19,52.63,1.4,2.82,0.2709,4.8377,-6.57,1.07,0.4352,0.4501,10139.76
Bollinger,GBPAUD,D1,8,50.0,1.03,2.08,0.2648,16.2131,-4.07,1.12,1.175,1.0079,10103.29
MACD,GBPAUD,D1,11,45.45,0.98,1.98,0.2543,0.3285,-4.09,1.1,1.016,0.7878,10098.17
RSI,AUDUSD,D1,3,66.67,0.88,1.78,0.2443,0.0,-2.02,1.44,1.0826,1.4863,10088.13
RSI,GBPAUD,D1,4,50.0,0.69,1.4,0.2436,68.7452,-4.06,1.17,1.1142,1.2104,10069.37
Parabolic_SAR,USDJPY,H4,69,44.93,1.47,2.96,0.2397,0.3559,-19.77,1.02,0.4512,0.2848,10146.62
MACD,AUDJPY,D1,10,50.0,0.81,1.64,0.2364,0.1453,-4.76,1.11,1.1265,1.1634,10081.33
RSI,USDCHF,D1,3,66.67,2.11,4.28,0.2354,0.0,-2.04,2.04,1.331,0.8253,10211.11
MACD,XAGUSD,H4,63,38.1,-0.71,-1.42,0.2292,0.3902,-11.79,0.99,4.3799,2.885,9929.22
Swing_SR,EURCHF,H1,64,70.31,1.08,2.18,0.2185,0.4182,-7.94,1.03,0.1133,0.2361,10108.16
RSI,EURCHF,H4,24,54.17,0.97,1.97,0.2028,5.1041,-5.19,1.04,0.2981,0.3483,10097.45
RSI,CADJPY,D1,2,50.0,0.37,0.74,0.1801,0.0,-2.07,1.18,1.4111,0.89,10036.89
Swing_SR,NZDUSD,H1,57,63.16,0.83,1.67,0.1786,0.2795,-11.88,1.02,0.2992,0.4671,10082.77
Parabolic_SAR,EURAUD,D1,12,50.0,0.57,1.14,0.1423,0.1227,-7.42,1.06,1.0024,0.7322,10056.61
MACD,ETHUSD,H4,88,42.05,-0.58,-1.16,0.1296,0.2085,-15.31,0.99,3.0795,2.4249,9941.65
Stochastic,EURGBP,D1,9,44.44,0.14,0.29,0.1263,8.3851,-4.18,1.02,0.6979,0.4792,10014.24
Bollinger,AUDUSD,D1,8,50.0,1.09,2.19,0.1229,0.0376,-2.02,1.26,1.0858,0.6827,10108.6
MACD,BTCUSD,D1,13,46.15,1.88,3.79,0.1152,0.076,-4.3,1.19,3.7397,4.0487,10187.92
Bollinger,EURAUD,H4,33,51.52,0.17,0.34,0.1032,3.8279,-10.2,1.0,0.4514,0.4558,10016.99
Stochastic,AUDJPY,D1,9,55.56,0.68,1.37,0.0676,4.1787,-4.03,1.08,1.387,1.5548,10067.88
Stochastic,XRPUSD,H4,76,50.0,-1.18,-2.34,0.0521,0.1242,-15.12,0.99,3.4009,3.1091,9882.17
MACD,XAUUSD,H4,71,38.03,-2.85,-5.64,0.0477,0.1019,-18.65,0.96,2.0438,1.1575,9714.91
Bollinger,AUDJPY,H4,33,42.42,-0.5,-1.01,0.0457,2.3896,-14.5,0.99,0.7742,0.6005,9949.69
EMA_Cross,NZDJPY,H4,39,43.59,-0.34,-0.68,0.0406,0.0494,-10.04,0.99,0.5928,0.4522,9965.98
Bollinger,EURAUD,D1,8,50.0,0.19,0.37,0.0354,1.729,-6.02,1.02,1.27,1.1307,10018.65
EMA_Cross,EURUSD,H4,36,41.67,0.61,1.23,0.0264,0.0323,-7.71,1.02,0.4064,0.3164,10061.31
Swing_SR,XRPUSD,H4,15,60.0,-0.12,-0.24,0.0168,0.7206,-6.37,0.99,3.8025,4.9167,9987.82
Swing_SR,ETHUSD,H4,17,58.82,-0.25,-0.49,0.0023,0.0733,-8.04,0.98,3.4637,4.4165,9975.49
Swing_SR,AUDJPY,D1,1,100.0,0.47,0.94,0.0,0.0,0.0,inf,0.599,0.0,10046.71
Swing_SR,NZDUSD,D1,1,0.0,-0.06,-0.12,0.0,0.0,0.0,0.0,0.0,0.05,9994.23
Swing_SR,BTCUSD,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
Swing_SR,EURUSD,D1,1,0.0,-0.5,-0.99,0.0,0.0,0.0,0.0,0.0,0.342,9950.31
Swing_SR,GBPUSD,D1,1,0.0,-0.06,-0.11,0.0,0.0,0.0,0.0,0.0,0.036,9994.28
Swing_SR,GBPJPY,D1,1,0.0,-1.21,-2.41,0.0,0.0,0.0,0.0,0.0,1.441,9879.25
Swing_SR,EURJPY,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
Swing_SR,XAUUSD,D1,1,0.0,-0.3,-0.6,0.0,0.0,0.0,0.0,0.0,1.0315,9970.14
EMA_Cross,GBPUSD,H4,38,44.74,-0.98,-1.95,-0.0112,-0.0627,-14.69,0.98,0.4664,0.4138,9902.34
Stochastic,LTCUSD,H4,69,47.83,-1.75,-3.47,-0.0123,-0.0358,-17.59,0.98,2.9765,2.5336,9824.64
Parabolic_SAR,XAUUSD,D1,11,36.36,-0.28,-0.56,-0.0235,-0.0126,-5.23,0.97,4.6648,2.3313,9972.25
Bollinger,XRPUSD,H4,52,50.0,-1.44,-2.85,-0.0437,-0.363,-10.35,0.97,3.0623,2.9746,9856.39
RSI,AUDUSD,H4,20,45.0,-0.72,-1.44,-0.0484,-3.6518,-4.47,0.97,0.7276,0.5847,9927.83
Parabolic_SAR,XAGUSD,H4,66,42.42,-1.31,-2.6,-0.0752,-0.1913,-13.15,0.98,5.0099,3.5652,9869.37
Stochastic,EURUSD,D1,8,50.0,0.67,1.35,-0.0979,-14.2306,-4.03,1.08,1.1404,0.8826,10067.17
Swing_SR,NZDUSD,H4,15,60.0,-0.68,-1.36,-0.1038,-4.8421,-6.59,0.94,0.7067,1.2434,9931.96
MACD,XAUUSD,H1,214,42.06,-1.8,-3.6,-0.1151,-0.1761,-33.45,0.99,0.965,0.6336,9820.15
RSI,NZDUSD,H4,24,45.83,-1.52,-3.04,-0.1195,-7.9149,-9.92,0.94,0.7275,0.601,9847.53
Swing_SR,USDCAD,H4,15,60.0,-0.61,-1.22,-0.1243,-0.0655,-6.99,0.93,0.2721,0.4086,9938.95
