strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
RSI,EURGBP,M15,232,35.34,-11.73,-22.15,-9.6925,-9.752,-11.76,0.19,0.0358,0.1034,8827.0
EMA_Cross,NZDUSD,M15,585,38.97,-25.17,-44.12,-9.7535,-11.4724,-25.17,0.49,0.1198,0.1576,7483.0
Bollinger,ETHUSD,M15,948,37.55,-92.53,-99.44,-9.7851,-12.6645,-92.61,0.44,0.6151,0.8016,747.43
Stochastic,XRPUSD,M15,1230,40.57,-96.92,-99.9,-9.8704,-11.866,-96.91,0.47,0.6212,0.893,307.79
EMA_Cross,EURUSD,M15,573,37.7,-15.69,-29.0,-9.9692,-12.4702,-16.0,0.49,0.0745,0.0928,8431.3
Bollinger,XRPUSD,M15,953,37.04,-93.33,-99.55,-10.3653,-12.2531,-93.49,0.44,0.6443,0.8233,667.33
Stochastic,ETHUSD,M15,1049,43.37,-92.2,-99.39,-10.3959,-13.3385,-92.17,0.55,0.6173,0.895,779.78
RSI,GBPJPY,M15,299,38.46,-21.22,-38.04,-10.4475,-11.7424,-21.22,0.25,0.0703,0.1734,7877.68
RSI,EURCHF,M15,272,37.87,-13.33,-24.96,-10.6218,-11.5473,-13.36,0.25,0.045,0.112,8667.08
Stochastic,GBPUSD,M15,948,43.25,-25.63,-44.8,-10.7617,-14.083,-25.89,0.54,0.0839,0.1188,7437.28
EMA_Cross,ETHUSD,M15,773,36.48,-89.16,-98.81,-10.8901,-13.3721,-89.45,0.38,0.5601,0.7694,1084.0
EMA_Cross,LTCUSD,M15,806,38.09,-90.2,-99.03,-10.9218,-12.6161,-90.26,0.38,0.4999,0.7685,979.92
Bollinger,BTCUSD,M15,922,37.53,-87.88,-98.52,-11.22,-15.3245,-88.01,0.43,0.4733,0.6466,1211.94
EMA_Cross,USDJPY,M15,617,33.06,-21.18,-37.97,-11.2859,-12.8171,-21.25,0.42,0.0817,0.0979,7882.18
Stochastic,EURUSD,M15,933,45.02,-22.09,-39.41,-11.3335,-15.3183,-22.23,0.54,0.0709,0.1066,7790.73
Bollinger,LTCUSD,M15,903,37.32,-90.7,-99.13,-11.3414,-14.6591,-90.89,0.47,0.5543,0.7438,930.23
EMA_Cross,USDCAD,M15,595,38.32,-16.6,-30.53,-11.3763,-13.4462,-16.67,0.41,0.0536,0.0827,8339.93
Bollinger,NZDJPY,M15,654,38.23,-31.84,-53.67,-11.4251,-16.8717,-31.89,0.41,0.1068,0.1608,6815.78
EMA_Cross,USDCHF,M15,621,34.94,-19.81,-35.8,-11.4818,-14.6744,-19.82,0.5,0.1003,0.1084,8018.55
